HORA,TEMPERATURA,TEMPERATURA_MINIMA,TEMPERATURA_MAXIMA
01:00,6.90,6.90,7.40
02:00,6.10,6.10,7.00
03:00,5.50,5.50,6.00
04:00,4.80,4.80,5.50
05:00,4.90,4.70,4.90
06:00,4.70,4.60,5.00
07:00,4.20,4.10,4.70
08:00,4.10,4.10,4.40
09:00,4.30,4.00,4.30
10:00,6.00,4.30,6.00
11:00,8.20,6.10,8.20
12:00,10.60,8.40,11.10
13:00,11.20,10.30,12.10
14:00,11.70,10.50,12.30
15:00,13.80,11.70,13.80
16:00,13.20,12.90,14.30
17:00,12.70,12.50,13.80
18:00,12.20,12.10,12.70
19:00,11.20,11.20,12.20
20:00,9.20,9.20,11.30
21:00,8.60,7.80,9.20
22:00,7.90,7.80,8.90
23:00,7.20,7.00,7.80
24:00,6.70,6.70,7.30
