dia_mes,hora,T,int
31_01,12:00,14.2,Valencia: 31/01/23 12:00 - 01/02/23 11:00
31_01,13:00,15.3,Valencia: 31/01/23 12:00 - 01/02/23 11:00
31_01,14:00,15.1,Valencia: 31/01/23 12:00 - 01/02/23 11:00
31_01,15:00,15.1,Valencia: 31/01/23 12:00 - 01/02/23 11:00
31_01,16:00,13.4,Valencia: 31/01/23 12:00 - 01/02/23 11:00
31_01,17:00,12.7,Valencia: 31/01/23 12:00 - 01/02/23 11:00
31_01,18:00,11.8,Valencia: 31/01/23 12:00 - 01/02/23 11:00
31_01,19:00,10.2,Valencia: 31/01/23 12:00 - 01/02/23 11:00
31_01,20:00,9.0,Valencia: 31/01/23 12:00 - 01/02/23 11:00
31_01,21:00,8.4,Valencia: 31/01/23 12:00 - 01/02/23 11:00
31_01,22:00,8.0,Valencia: 31/01/23 12:00 - 01/02/23 11:00
31_01,23:00,7.1,Valencia: 31/01/23 12:00 - 01/02/23 11:00
01_02,00:00,6.4,Valencia: 31/01/23 12:00 - 01/02/23 11:00
01_02,01:00,5.8,Valencia: 31/01/23 12:00 - 01/02/23 11:00
01_02,02:00,5.2,Valencia: 31/01/23 12:00 - 01/02/23 11:00
01_02,03:00,4.7,Valencia: 31/01/23 12:00 - 01/02/23 11:00
01_02,04:00,4.3,Valencia: 31/01/23 12:00 - 01/02/23 11:00
01_02,05:00,4.4,Valencia: 31/01/23 12:00 - 01/02/23 11:00
01_02,06:00,4.5,Valencia: 31/01/23 12:00 - 01/02/23 11:00
01_02,07:00,4.4,Valencia: 31/01/23 12:00 - 01/02/23 11:00
01_02,08:00,4.3,Valencia: 31/01/23 12:00 - 01/02/23 11:00
01_02,09:00,4.9,Valencia: 31/01/23 12:00 - 01/02/23 11:00
01_02,10:00,7.2,Valencia: 31/01/23 12:00 - 01/02/23 11:00
01_02,11:00,10.8,Valencia: 31/01/23 12:00 - 01/02/23 11:00
