Estació,Altitud (m),T(ºC),T mín (ºC),T màx (ºC),Punt rosada (ºC),Wind Chill (ºC),Humetat relativa %,Precip Dia (mm),Intensitat precip,Vent (km/h),Direcció vent,Màxim vent (km/h)
Portell de Morella,1.074 +11,4.9,-5.9,4.9,-3.0,,57,0.0,0.0,3,NO,16
Sorita,626 +2,5.9,-9.1,5.9,-1.6,4.2,59,0.0,0.0,8,NNE,15
Vallibona,644 +2,6.7,-2.7,6.8,-2.0,3.7,54,0.0,0.0,16,N,37
Vistabella del MaestratSant Joan de Penyagolosa,1.285 +10,3.6,-10.8,4.4,-8.6,0.4,41,0.0,0.0,13,SO,19
la Pobla de BenifassàCoratxà,1.231 +2,0.2,-5.2,0.2,-4.1,-4.4,73,0.0,0.0,16,NNO,34
Castelló de la PlanaIlles Columbretes,42 +4,10.9,7.8,11.3,1.6,,53,0.0,0.0,6,ONO,32
TorreblancaTorrenostra PN el Prat,0 +2,10.6,1.6,11.9,1.1,,52,0.0,0.0,8,SSE,37
Aín,510 +2,9.8,-2.6,9.9,-2.3,9.1,43,0.0,0.0,6,ENE,13
Torás,773 +14,8.3,-2.1,8.3,-4.3,,41,0.0,0.0,2,SE,39
Cirat,374 +2,11.2,-3.8,11.2,-2.7,,38,0.0,0.0,3,SE,21
Villamalur,637 +9,7.1,-1.0,7.1,-3.0,5.2,49,0.0,0.0,10,NE,21
CastielfabibArroyo Cerezo,1.312 +2,3.7,-9.4,3.7,-3.4,,60,0.0,0.0,5,E,13
Puebla de San Miguel,1.110 +4,4.4,-6.7,4.4,-4.4,2.4,53,0.0,0.0,8,SO,13
TitaguasCosmofísica,826 +12,6.0,-4.2,6.0,-6.1,,42,0.0,0.0,0,O,23
Gàtova,578 +15,8.6,-3.2,8.6,-2.8,,45,0.0,0.0,5,SSE,19
Manisesla Presa,60 +2,12.1,-0.4,12.1,3.3,,55,0.0,0.0,0,ESE,3
RequenaCasas del Río,355 +2,10.0,-3.6,10.0,0.2,,51,0.0,0.0,8,NE,15
RequenaFinca San Blas,645 +2,7.8,-7.0,7.8,-0.5,5.1,56,0.0,0.0,16,O,21
AioraSan Benito,671 +2,8.3,-5.1,8.4,1.4,6.7,62,0.0,0.0,10,SSE,15
AioraLa Hunde,928 +2,6.3,-3.8,6.3,-1.7,5.1,57,0.0,0.0,6,NNE,21
Cortes de PallarsVenta de Gaeta,665 +8,6.8,-3.7,6.8,-1.5,5.7,56,0.0,0.0,6,NO,21
la Barraca d′Aigües Vives,88 +20,9.9,1.0,9.9,7.5,,85,0.2,0.2,0,S,15
ÉngueraEl Transformador,751 +2,9.4,-1.2,9.5,,,55,0.0,0.0,,,
BicorbLos Botijos,519 +7,9.1,-4.3,9.2,-0.9,,50,0.2,0.2,3,NO,19
BocairentCàmping Mariola,888 +2,6.2,-4.5,6.3,-0.2,,64,0.0,0.0,3,ONO,11
Pinet,347 +12,7.6,0.3,7.6,6.5,6.6,93,0.0,0.0,6,SSO,18
GandiaParpalló-Borrell,385,8.1,0.0,8.1,3.9,,75,0.2,0.2,0,SO,13
Fageca,778 +2,7.0,-2.0,7.0,2.4,5.9,73,0.0,0.0,6,SO,15
el Fondó dels Frares,413 +2,10.7,-5.2,11.3,1.2,,52,0.0,0.0,5,SE,15
el Pinósel Rodriguillo,539 +2,9.0,-4.5,9.1,-0.2,7.5,53,0.0,0.0,10,ONO,16
Castell de Castells,521 +2,9.8,-2.9,9.8,3.0,9.1,63,,,6,O,18
l′AtzúbiaForna,164 +12,10.9,2.3,10.9,3.4,,60,0.2,0.2,8,NNO,15
